Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,polish
challengeCraftClothesHint1_alt,Challenges,Challenge,,,[00FF00]Open [-][FFB400]the crafting menu [action:local:Inventory][action:permanent:Inventory].\nSelect [action:gui:GUI Submit] [-][00FF00]Primitive Outfit[-][FFB400] in [-][00FF00]Basics[-][FFB400] list.[-]\n[00FF00]Hold [-][action:gui:GUI Inspect] [FFB400]then [00FF00]Press [-][action:gui:GUI D-Pad Up] to [00FF00]Craft [-][FFB400]them.[-],,"[00FF00]Otwórz [-][FFB400]menu wytwarzania [action:local:Inventory][action:permanent:Inventory].\nWybierz [action:gui:GUI Submit] [-][00FF00]prymitywny strój[-][FFB400]z listy [-][00FF00]Podstawy[-][FFB400].[-]\n[00FF00]Przytrzymaj [-][action:gui:GUI Inspect], [FFB400]a następnie [00FF00]naciśnij [-][action:gui:GUI D-Pad Up], aby go wytworzyć [00FF00][-][FFB400].[-]"
challengeCraftStoneAxeDesc,Challenges,Challenge,,,Craft a [DECEA3]Stone Axe[-] to help you defend yourself and gather resources.\n\nAccess the [DECEA3]Inventory[-] and locate [DECEA3]Stone Axe[-] in the [DECEA3]Basics[-] category of the crafting menu.,,Wytwórz [DECEA3]kamienną siekierę[-] do obrony i zbierania zasobów.\n\nOtwórz [DECEA3]ekwipunek[-] i znajdź [DECEA3]kamienną siekierę[-] w kategorii [DECEA3]Podstawy[-] w menu wytwarzania.
challengeCraftStoneAxeHint1,Challenges,Challenge,,,[00FF00]Open [-][FFB400]the crafting menu [action:local:Inventory][action:permanent:Inventory][FFB400].\nSelect [-][00FF00]Stone Axe [-][FFB400]in [-][00FF00]Basics[-][FFB400] list.\n[-][00FF00]Press [-][FFB400][action:local:Forward] to [-][00FF00]Craft[-][FFB400] it.[-],,"[00FF00]Otwórz [-][FFB400]menu wytwarzania [action:local:Inventory][action:permanent:Inventory][FFB400].\nWybierz [-][00FF00]kamienną siekierę[-][FFB400] z listy [-][00FF00]Podstawy[-][FFB400].\n[-][00FF00]Naciśnij [-][FFB400][action:local:Forward], aby ją [-][00FF00]wytworzyć[-][FFB400].[-]"
challengeCraftStoneAxeHint1_alt,Challenges,Challenge,,,[00FF00]Open [-][FFB400]the crafting menu [action:local:Inventory].\nSelect [action:gui:GUI Submit][-][00FF00] Stone Axe [-][FFB400]in [-][00FF00]Basics[-][FFB400] list.[-]\n[00FF00]Hold [-][action:gui:GUI Inspect] [FFB400]then [00FF00]Press [-][action:gui:GUI D-Pad Up] to [-][00FF00]Craft[-][FFB400] it.,,"[00FF00]Otwórz [-][FFB400]menu wytwarzania [action:local:Inventory].\nWybierz [action:gui:GUI Submit][-][00FF00]kamienną siekierę[-][FFB400] z listy [-][00FF00]Podstawy[-][FFB400].[-]\n[00FF00]Przytrzymaj [-][action:gui:GUI Inspect][FFB400], a następnie [00FF00]naciśnij [-][action:gui:GUI D-Pad Up], aby ją[-][00FF00]wytworzyć[-][FFB400]."
challengeGathererPotassium,Challenges,Challenge,,,Gather Nitrate Powder,,Zbierz saletrę
challengeGathererPotassiumDesc,Challenges,Challenge,,,"[DECEA3]Nitrate Powder[-] is a basic resource used in some [DECEA3]Medical[-] recipes and [DECEA3]Gunpowder[-].\n\nIt can be gathered by using a [DECEA3]Pickaxe[-] on sources like [DECEA3]Potassium Nitrate Resource Boulders[-], and exposed [DECEA3]Potassium Nitrate[-] veins. [DECEA3]Potassium Nitrate[-] is a crystalline, white rock with a rough, jagged structure\n\nGather some [DECEA3]Nitrate Powder[-] from mining.",,"[DECEA3]Saletra[-] to podstawowy zasób używany w kilku przepisach na zasoby [DECEA3]medyczne[-] i [DECEA3]proch strzelniczy[-].\n\nMożna go zbierać za pomocą [DECEA3]kilofa[-] z takich źródeł, jak [DECEA3]głazy saletry[-] i odsłonięte żyły [DECEA3]saletry[-]. [DECEA3]Saletra[-] to krystaliczna, biała skała o szorstkiej, nierównej strukturze.\n\nWydobądź trochę [DECEA3]saletry[-] za pomocą narżędzi górniczych."
challengeGathererPotassiumShort,Challenges,Challenge,,,Mine some Nitrate Powder.,,Wydobądź trochę saletry
challengeGathererStoneDesc,Challenges,Challenge,,,[DECEA3]Small Stones[-] are a basic resource used in [DECEA3]Construction[-] recipes and for [DECEA3]Primitive Tools[-].\n\n[DECEA3]Small Stones[-] can be gathered by using a [DECEA3]Pickaxe[-] on [DECEA3]Stone Boulders[-] or a [DECEA3]Shovel[-] on [DECEA3]Gravel Blocks[-].\n\nGather some [DECEA3]Small Stones[-] from digging.,,[DECEA3]Małe kamienie[-] to podstawowy zasób używany w przepisach [DECEA3]budowlanych[-] i na [DECEA3]prymitywne narzędzia[-].\n\n[DECEA3]Małe kamienie[-] można zbierać za pomocą [DECEA3]kilofa[-] z [DECEA3]głazów kamiennych[-] lub za pomocą [DECEA3]łopaty[-] z [DECEA3]bloków żwirowych[-].\n\nZbierz trochę [DECEA3]małych kamyków[-] z kopania.
challengeGatherResourcesDesc,Challenges,Challenge,,,"The basic resources you will need are [DECEA3]Plant Fibers[-], [DECEA3]Wood[-], and [DECEA3]Small Stones[-].\n\nThese can be found all around you and can easily be harvested using your fists by attacking plant, wood, and stone objects.\n\nYou can also pick up small stones by looking at them and using the [DECEA3]Interact[-] action. ",,"Potrzebujesz następujących podstawowych zasobów: [DECEA3]włókien roślinnych[-], [DECEA3]drewna[-] i [DECEA3]małych kamieni[-].\n\nMożesz je znaleźć w okolicy i łatwo zebrać, uderzając pięściami rośliny oraz drewniane i kamienne obiekty.\n\nMożesz również podnieść małe kamienie, spoglądając na nie i używając akcji [DECEA3]interakcji[-]. "
challengeGatherResourcesHint1,Challenges,Challenge,,,"[00FF00]Press [-][FFB400][action:local:Primary] to punch grass, shrubs, and small stones. Look for [-][FFFF00]yellow [-][FFB400]navigation icons to find resources.[-]",,"[00FF00]Naciśnij [-][FFB400][action:local:Primary], aby uderzyć pięścią trawę, krzaki i małe kamienie. Wypatruj [-][FFFF00]żółtych [-][FFB400]ikon nawigacyjnych, aby znaleźć zasoby.[-]"
challengeGatherResourcesStoneAxeDesc,Challenges,Challenge,,,"Some [DECEA3]Tools[-] are better than others at harvesting certain materials. Using your [DECEA3]Empty Hands[-] to collect [DECEA3]Wood[-] and [DECEA3]Small Stones[-] is fine, but a good [DECEA3]Stone Axe[-] will do it much faster. \n\nThe [DECEA3]Stone Axe[-] is also used in [DECEA3]Repairing[-] and [DECEA3]Upgrading[-] blocks like [DECEA3]Building Blocks[-].",,"Niektóre [DECEA3]narzędzia[-] nadają się lepiej od innych do zbierania określonych materiałów. Używanie [DECEA3]pustych rąk[-] do zbierania [DECEA3]drewna[-] i [DECEA3]małych kamieni[-] jest skuteczne, ale dobra [DECEA3]kamienna siekiera[-] znacznie przyspieszy ten proces. \n\n[DECEA3]Kamienna siekiera[-] nadaje się również do [DECEA3]naprawy[-] i [DECEA3]ulepszania[-] bloków, na przykład [DECEA3]bloków konstrukcyjnych[-]."
challengeGatherResourcesStoneAxeHint2,Challenges,Challenge,,,[00FF00]Press [-][FFB400][action:local:Primary] to harvest wood from trees and small stones from boulders.[-],,"[00FF00]Naciśnij [-][FFB400][action:local:Primary], by pozyskać drewno z drzew i małe kamienie z głazów.[-]"
challengeGatherResourcesStoneAxeHint2_alt,Challenges,Challenge,,,[00FF00]Press [-][FFB400][action:local:Primary] to harvest wood from trees and small stones from boulders.[-],,"[00FF00]Naciśnij [-][FFB400][action:local:Primary], by pozyskać drewno z drzew i małe kamienie z głazów.[-]"
challengePlaceCementMixerDesc,Challenges,Challenge,,,The [DECEA3]Cement Mixer[-] is used to craft [DECEA3]Concrete Mix[-] to make stronger [DECEA3]Concrete Blocks[-]. It can also mill [DECEA3]Small Stones[-] into [DECEA3]Sand[-].\n\nRecipes at the [DECEA3]Cement Mixer[-] require ingredients from your [DECEA3]Inventory[-].\n\nHold [action:local:Activate][action:permanent:Activate] to pick up Workstations within your [DECEA3]Land Claim[-] area.,,"[DECEA3]Betoniarka[-] służy do wytwarzania [DECEA3]mieszanki betonowej[-], niezbędnej do wzmacniania [DECEA3]betonowych bloków[-]. Zmielisz też w niej [DECEA3]małe kamienie[-], uzyskując z nich [DECEA3]piasek[-].\n\nAby wytworzyć w [DECEA3]betoniarce[-] przedmiot z przepisu, musisz posiadać w [DECEA3]ekwipunku[-] wszystkie jego składniki.\n\nPrzytrzymaj [action:local:Activate][action:permanent:Activate], aby podnieść stacje robocze w obrębie [DECEA3]Twojego bloku prawa własności do ziemi[-]."
challengePlaceChemistryStationDesc,Challenges,Challenge,,,"Some advanced recipes can only be made at a [DECEA3]Chemistry Station[-], while other [DECEA3]Chemistry[-] and [DECEA3]Medical[-] recipes are more efficient when crafted in one.\n\nCrafting at a [DECEA3]Chemistry Station[-] requires all materials to be in your inventory.\n\nHold [action:local:Activate][action:permanent:Activate] to pick up Workstations within your [DECEA3]Land Claim[-] area.",,"Niektóre zaawansowane przepisy można wykonać jedynie w [DECEA3]laboratorium chemicznym[-]. Inne przepisy [DECEA3]chemiczne[-] i [DECEA3]medyczne[-] zyskują dzięki temu na skuteczności.\n\nWytwarzanie w [DECEA3]laboratorium chemicznym[-] wymaga posiadania wszystkich wymaganych materiałów w ekwipunku.\n\nPrzytrzymaj [action:local:Activate][action:permanent:Activate], aby podnieść stacje robocze w obrębie [DECEA3]Twojego bloku prawa własności do ziemi[-]"
challengePlaceForgeDesc,Challenges,Challenge,,,A [DECEA3]Forge[-] is a [DECEA3]Workstation[-] used to craft advanced recipes using smelted metals and other resources.\n\n[DECEA3]Forges[-] can be placed and rotated like normal [DECEA3]Blocks[-].\n\nHold [action:local:Activate][action:permanent:Activate] to pick up [DECEA3]Forges[-] and other [DECEA3]Workstations[-] within your [DECEA3]Land Claim[-] area.,,"[DECEA3]Kuźnia[-] to [DECEA3]stacja robocza[-], która służy do wytwarzania zaawansowanych przepisów za pomocą przetopionych metali i innych zasobów.\n\n[DECEA3]Kuźnie[-] można rozmieszczać i obracać tak, jak zwykłe [DECEA3]bloki[-].\n\nPrzytrzymaj [action:local:Activate][action:permanent:Activate], by podnieść [DECEA3]kuźnie[-] i inne [DECEA3]stacje robocze[-] w obrębie [DECEA3]Twojego bloku prawa własności do ziemi[-]."
challengePlaceWorkbenchDesc,Challenges,Challenge,,,"[DECEA3]Workbenches[-] are used to craft [DECEA3]Weapons[-], [DECEA3]Armor[-], [DECEA3]Vehicles[-] and other advanced recipes. \n\nYou can queue crafting in the [DECEA3]Workbench[-] and your [DECEA3]Inventory[-] at the same time.\n\nFor recipes at the [DECEA3]Workbench[-], crafting materials must be in your [DECEA3]Inventory[-].\n\nHold [action:local:Activate][action:permanent:Activate] to pick up Workstations within your [DECEA3]Land Claim[-] area.",,"[DECEA3]Warsztaty[-] służą do wytwarzania [DECEA3]broni[-], [DECEA3]pancerzy[-], [DECEA3]pojazdów[-] i innych zaawansowanych przepisów.\n\nMożesz jednocześnie ustawiać przedmioty w kolejce w [DECEA3]warsztacie[-] i [DECEA3]ekwipunku[-].\n\nPrzepisy w [DECEA3]warsztacie[-] wymagają materiałów do wytwarzania w [DECEA3]ekwipunku[-].\n\nPrzytrzymaj [action:local:Activate][action:permanent:Activate], by podnieść stacje robocze w obrębie [DECEA3]Twojego bloku prawa własności do ziemi[-]."
challengeQuestCompleteDesc,Challenges,Challenge,,,"[DECEA3]Traders[-] offer several [DECEA3]Quest[-] types which reward the player with [DECEA3]Dukes[-], [DECEA3]XP[-], and [DECEA3]Items[-]. [DECEA3]Quests[-] must be returned to the [DECEA3]Trader[-] that you accepted them from. A [DECEA3]Quest[-] at a [DECEA3]POI[-] will fail if you leave without completing all objectives.\n\nStart a [DECEA3]Quest[-] by approaching the [DECEA3]Activation Marker[-], identified by the Yellow exclamation point and activating it with [action:permanent:Activate] [action:local:Activate]. \n\n[FF0000]WARNING:[-] This will cause the [DECEA3]POI[-] to [FF0000]Completely[-] reset, removing [DECEA3]ANY[-] player placed [DECEA3]Blocks[-], including [DECEA3]Containers[-], [DECEA3]Building Blocks[-], and [DECEA3]Decorations[-].  This reset is [FF0000]Permanent[-] and [FF0000]Irreversible[-] so make sure you double check before you [DECEA3]Activate[-] the marker.\n\nPlacing a [DECEA3]Bedroll[-], or [DECEA3]Land Claim Block[-], will protect the [DECEA3]POI[-] from being [DECEA3]Reset[-] in this manner.",,"[DECEA3]Handlarze[-] oferują kilka rodzajów [DECEA3]zadań[-], za wykonanie których gracz otrzymuje [DECEA3]żetony[-], [DECEA3]PD[-] i [DECEA3]przedmioty[-]. [DECEA3]Zadania[-] należy ukończyć u [DECEA3]handlarza[-], od którego je przyjęto. [DECEA3]Zadanie[-] w [DECEA3]POI[-] zakończy się niepowodzeniem, jeśli opuścisz go, nie ukończywszy wszystkich celów.\n\nRozpocznij [DECEA3]zadanie[-], podchodząc do [DECEA3]znacznika aktywacji[-], oznaczonego żółtym wykrzyknikiem i aktywując go za pomocą [action:permanent:Activate] [action:local:Activate]. \n\n[FF0000]UWAGA:[-] spowoduje to [FF0000]całkowite[-] zresetowanie [DECEA3]POI[-] i usunięcie [DECEA3]WSZYSTKICH[-] rozmieszczonych przez gracza [DECEA3]bloków[-], w tym [DECEA3]pojemników[-], [DECEA3]bloków konstrukcyjnych[-] i [DECEA3]dekoracji[-]. Ten reset jest [FF0000]trwały[-] i [FF0000]nieodwracalny[-], więc upewnij się, że chcesz [DECEA3]aktywować[-] znacznik.\n\nRozmieszczenie [DECEA3]śpiwora[-] lub [DECEA3]bloku prawa własności[-] ochroni [DECEA3]POI[-] przed tym [DECEA3]resetem[-]."
modArmorAdvancedMuffledConnectorsSchematic,item_modifiers,mod,,,Adv. Muffled Connectors Mod Schematic,,Zaaw. wytłumione połączenia — schemat modyfikacji
modArmorBandolierSchematic,item_modifiers,mod,,,Bandolier Mod Schematic,,Pas na naboje — schemat modyfikacji
modArmorCoolingMeshSchematic,item_modifiers,mod,,,Cooling Mesh Mod Schematic,,Siatka chłodząca — schemat modyfikacji
modArmorCustomizedFittingsSchematic,item_modifiers,mod,,,Customized Fittings Mod Schematic,,Niestandardowe połączenia — schemat modyfikacji
modArmorDoubleStoragePocket,item_modifiers,mod,,,Armor Double Pocket Mod,,Dwuczęściowy zasobnik — modyfikacja
modArmorDoubleStoragePocketSchematic,item_modifiers,mod,,,Armor Double Pocket Mod Schematic,,Dwuczęściowy zasobnik — schemat modyfikacji
modArmorHelmetLightSchematic,item_modifiers,mod,,,Helmet Light Mod Schematic,,Lampka na hełm — schemat
modArmorImpactBracingSchematic,item_modifiers,mod,,,Impact Bracing Mod Schematic,,Amortyzator upadku — schemat modyfikacji
modArmorImprovedFittingsSchematic,item_modifiers,mod,,,Improved Fittings Mod Schematic,,Poprawione połączenia — schemat modyfikacji
modArmorInsulatedLinerSchematic,item_modifiers,Mod,,,Insulated Liner Mod Schematic,,Podszewka z warstwą izolacji — schemat modyfikacji
modArmorMuffledConnectorsSchematic,item_modifiers,mod,,,Muffled Connectors Mod Schematic,,Wytłumione połączenia — schemat modyfikacji
modArmorPlatingBasicSchematic,item_modifiers,mod,,,Armor Plating Mod Schematic,,Dodatkowe płyty — schemat modyfikacji
modArmorPlatingReinforcedSchematic,item_modifiers,mod,,,Banded Armor Plating Mod Schematic,,Dodatkowe płyty z taśmami — schemat modyfikacji
modArmorQuadStoragePocket,item_modifiers,mod,,,Armor Quad Pocket Mod,,Czteroczęściowy zasobnik — modyfikacja
modArmorQuadStoragePocketSchematic,item_modifiers,mod,,,Armor Quad Pocket Mod Schematic,,Czteroczęściowy zasobnik — schemat modyfikacji
modArmorStoragePocket,item_modifiers,mod,,,Armor Pocket Mod,,Zasobnik — modyfikacja
modArmorStoragePocketSchematic,item_modifiers,mod,,,Armor Pocket Mod Schematic,,Zasobnik — schemat modyfikacji
modArmorTripleStoragePocket,item_modifiers,mod,,,Armor Triple Pocket Mod,,Trzyczęściowy zasobnik — modyfikacja
modArmorTripleStoragePocketSchematic,item_modifiers,mod,,,Armor Triple Pocket Mod Schematic,,Trzyczęściowy zasobnik — schemat modyfikacji
modArmorWaterPurifierSchematic,item_modifiers,mod,,,Water Purifier Mod Schematic,,Oczyszczacz wody — schemat modyfikacji
modClothingCargoStoragePocket,item_modifiers,mod,,,Clothing Double Pocket Mod,,Podwójna kieszeń na ubraniu — modyfikacja
modClothingStoragePocket,item_modifiers,mod,,,Clothing Pocket Mod,,Kieszeń na ubraniu — modyfikacja
modFuelTankLargeSchematic,item_modifiers,mod,,,Motor Tool Large Tank Mod Schematic,,"Narzędzia spalinowe — duży zbiornik, schemat modyfikacji"
modFuelTankSmallSchematic,item_modifiers,mod,,,Motor Tool Small Tank Mod Schematic,,"Narzędzia spalinowe — mały zbiornik, schemat modyfikacji"
modGunBarrelExtenderSchematic,item_modifiers,Mod,,,Barrel Extender Mod Schematic,,Przedłużenie lufy — schemat modyfikacji
modGunBipodSchematic,item_modifiers,Mod,,,Bipod Mod Schematic,,Dwójnóg — schemat modyfikacji
modGunBowArrowRestSchematic,item_modifiers,Mod,,,Arrow Rest Mod Schematic,,Podstawka pod strzałę — schemat modyfikacji
modGunBowPolymerStringSchematic,item_modifiers,Mod,,,Polymer String Mod Schematic,,Cięciwa z polimeru — schemat modyfikacji
modGunChokeSchematic,item_modifiers,Mod,,,Shotgun Choke Mod Schematic,,Czok strzelby — schemat modyfikacji
modGunCrippleEmSchematic,item_modifiers,Mod,,,Cripple 'Em Mod Schematic,,Stopostop — schemat modyfikacji
modGunDuckbillSchematic,item_modifiers,Mod,,,Shotgun Duckbill Mod Schematic,,Duckbill strzelby — schemat modyfikacji
modGunFlashlightSchematic,item_modifiers,Mod,,,Weapon Flashlight Mod Schematic,,Latarka do broni — schemat modyfikacji
modGunForegripSchematic,item_modifiers,Mod,,,Fore Grip Mod Schematic,,Uchwyt przedni — schemat modyfikacji
modGunLaserSightSchematic,item_modifiers,mod,,,Laser Sight Mod Schematic,,Celownik laserowy — schemat modyfikacji
modGunMagazineExtenderSchematic,item_modifiers,Mod,,,Magazine Extender Mod Schematic,,Przedłużenie magazynka — schemat modyfikacji
modGunMeleeFlammableOilSchematic,item_modifiers,Mod,,,Flammable Oil Mod Schematic,,Łatwopalna ropa — schemat modyfikacji
modGunMeleeLiquidNitrogenSchematic,item_modifiers,Mod,,,Liquid Nitrogen Mod Schematic,,Ciekły azot — schemat modyfikacji
modGunMeleeNiCdBatterySchematic,item_modifiers,Mod,,,NiCd Battery Mod Schematic,,Bateria NiCd — schemat modyfikacji
modGunMeleeRadRemoverSchematic,item_modifiers,Mod,,,Rad Remover Mod Schematic,,Neutralizator promieniowania — schemat modyfikacji
modGunMeleeTheHunterSchematic,item_modifiers,Mod,,,The Hunter Mod Schematic,,Łowca — schemat modyfikacji
modGunMuzzleBrakeSchematic,item_modifiers,Mod,,,Muzzle Brake Mod Schematic,,Hamulec wylotowy — schemat modyfikacji
modGunReflexSightSchematic,item_modifiers,Mod,,,Reflex Sight Mod Schematic,,Celownik kolimatorowy — schemat modyfikacji
modGunRetractingStockSchematic,item_modifiers,Mod,,,Retracting Stock Mod Schematic,,Wysuwana kolba — schemat modyfikacji
modGunScopeLargeSchematic,item_modifiers,Mod,,,Scope 8x Mod Schematic,,Luneta 8x — schemat modyfikacji
modGunScopeMediumSchematic,item_modifiers,Mod,,,Scope 4x Mod Schematic,,Luneta 4x — schemat modyfikacji
modGunScopeSmallSchematic,item_modifiers,Mod,,,Scope 2x Mod Schematic,,Luneta 2x — schemat modyfikacji
modGunSoundSuppressorSilencerSchematic,item_modifiers,mod,,,Silencer Mod Schematic,,Tłumik — schemat modyfikacji
modGunTriggerGroupAutomaticSchematic,item_modifiers,Mod,,,Trigger Group: Full Auto Mod Schematic,,Mechanizm spustowy: W pełni automatyczny — schemat modyfikacji
modGunTriggerGroupBurst3Schematic,item_modifiers,Mod,,,Trigger Group: Burst Mod Schematic,,Mechanizm spustowy: Seryjny — schemat modyfikacji
modGunTriggerGroupSemiSchematic,item_modifiers,Mod,,,Trigger Group: Semi Mod Schematic,,Mechanizm spustowy: Półautomatyczny — schemat modyfikacji
modMeleeBunkerBusterSchematic,item_modifiers,Mod,,,Bunker Buster Mod Schematic,,Niszczyciel bunkrów — schemat modyfikacji
modMeleeClubBarbedWireSchematic,item_modifiers,Mod,,,Barbed Wire Mod Schematic,,Drut kolczasty — schemat modyfikacji
modMeleeClubBurningShaftSchematic,item_modifiers,Mod,,,Burning Shaft Mod Schematic,,Płonący drąg — schemat modyfikacji
modMeleeClubMetalChainSchematic,item_modifiers,Mod,,,Metal Chain Mod Schematic,,Metalowy łańcuch — schemat modyfikacji
modMeleeClubMetalSpikesSchematic,item_modifiers,Mod,,,Metal Spikes Mod Schematic,,Metalowe kolce — schemat modyfikacji
modMeleeErgonomicGripSchematic,item_modifiers,Mod,,,Ergonomic Grip Mod Schematic,,Ergonomiczny uchwyt — schemat modyfikacji
modMeleeFiremansAxeModDesc,item_modifiers,Mod,,,Deal 25% more damage to blocks but 25% less damage to enemies.,,Premia 25% do obrażeń zadawanych blokom i kara 25% do obrażeń zadawanych wrogom.
modMeleeFortifyingGripSchematic,item_modifiers,Mod,,,Fortifying Grip Mod Schematic,,Wzmacniający uchwyt — schemat modyfikacji
modMeleeGraveDiggerSchematic,item_modifiers,Mod,,,Grave Digger Mod Schematic,,Grabarz — schemat modyfikacji
modMeleeIronBreakerSchematic,item_modifiers,Mod,,,Iron Breaker Mod Schematic,,Żelazołamacz — schemat modyfikacji
modMeleeSerratedBladeSchematic,item_modifiers,Mod,,,Serrated Blade Mod Schematic,,Ząbkowane ostrze — schemat modyfikacji
modMeleeStructuralBraceSchematic,item_modifiers,Mod,,,Structural Brace Mod Schematic,,Wzmocnienie struktury — schemat modyfikacji
modMeleeWeightedHeadSchematic,item_modifiers,Mod,,,Weighted Head Mod Schematic,,Wyważona głownia — schemat modyfikacji
modMeleeWoodSplitter,item_modifiers,mod,,,Wood Splitter Mod,,Rozłupywarka drewna — modyfikacja
modMeleeWoodSplitterSchematic,item_modifiers,Mod,,,Wood Splitter Mod Schematic,,Rozłupywarka drewna — schemat modyfikacji
modRadiationReadySchematic,item_modifiers,Mod,,,Radiation Ready Mod Schematic,,Zabezpieczenie przed promieniowaniem — schemat modyfikacji
modShotgunSawedOffBarrelSchematic,item_modifiers,Mod,,,Sawed-off Shotgun Mod Schematic,,Obrzyn — schemat modyfikacji
modVehicleFuelSaverSchematic,item_modifiers,Mod,,,Vehicle Fuel Saver Mod Schematic,,Zestaw redukujący spalanie — schemat modyfikacji
modVehicleOffRoadHeadlightsSchematic,item_modifiers,Mod,,,Vehicle Off Road Headlights Mod Schematic,,Reflektory terenowe pojazdu – schemat modyfikacji
modVehiclePlowSchematic,item_modifiers,mod,,,Vehicle Plow Mod Schematic,,Pług pojazdu — schemat modyfikacji
modVehicleSuperChargerSchematic,item_modifiers,Mod,,,Vehicle Super Charger Mod Schematic,,Turbodoładowanie pojazdu – schemat modyfikacji
adminModSchematicDesc,items,Admin,,,Learn all of the Mod Schematics instantly!,,Błyskawicznie zdobądź wszystkie schematy modyfikacji!
drinkJarFullRespecAdminPromptDesc,items,Admin,,,"Are you sure you want to reset all of your levels, skills, books, and crafting magazines?\n\nThere will be no refund of any skill points earned.",,"Czy na pewno chcesz zresetować wszystkie poziomy, umiejętności, książki i czasopisma?\n\nNie odzyskasz żadnych zdobytych punktów umiejętności."
drinkJarFullRespecAdminTooltip,items,Admin,,,"All levels, skills, books, and crafting magazines have been reset.",,"Zresetowano wszystkie poziomy, umiejętności, książki i czasopisma."
armorClothGroupDesc,items,Clothes,,,Light armor will encumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with cloth.\nScrap to cloth.,,"Lekki pancerz nieznacznie obciąża i słabo chroni przed obrażeniami.\nNie licz na ochronę przed pogodą.\n\nNaprawisz to tkaniną.\nZezłomuj, by uzyskać tkaninę."
armorFirefightersHelmetDesc,items,Clothes,,,This helmet offers very good defense & added heat resistance.\n\nRepair with a Repair Kit.\nScrap to Iron.,,"Hełm dobrze chroni przed obrażeniami i zapewnia dodatkową odporność na ogień.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać żelazo."
armorFootballHelmetDesc,items,Clothes,,,Get great concussive & puncture defense & you can cheer for your favorite team as if organized football still existed.\n\nRepair with a Repair Kit.\nScrap to scrap polymers.,,"Nie dość, że kask zabezpieczy cię przed ranami od broni obuchowej i kłutej, możesz kibicować ulubionej drużynie, zupełnie jakby futbol amerykański nadal istniał.\n\nNapraw zestawem naprawczym.\nZezłomuj, by uzyskać resztki polimerów."
